Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AA Noffke,2008-2008,1,1,0,9,9,9.00,10,90.00,0,0,0,1,0
MK Pandey,2009-2010,18,17,3,417,114*,29.78,344,121.22,1,0,2,44,11
Pankaj Singh,2009-2010,5,3,1,2,1*,1.00,4,50.00,0,0,1,0,0
P Parameswaran,2012-2012,3,1,1,0,0*,-,1,0.00,0,0,0,0,0
Parvez Rasool,2016-2016,4,1,0,10,10,10.00,9,111.11,0,0,0,1,0
HV Patel,2012-2017,36,14,5,47,10,5.22,34,138.23,0,0,3,2,3
PA Patel,2014-2018,18,18,3,358,57*,23.86,294,121.76,0,2,0,50,5
AUK Pathan,2011-2012,8,7,2,39,14,7.80,23,169.56,0,0,2,5,2
DT Patil,2008-2008,2,2,0,13,9,6.50,13,100.00,0,0,0,1,0
KP Pietersen,2009-2010,13,13,3,329,66*,32.90,242,135.95,0,2,2,31,10
LA Pomersbach,2011-2011,5,4,0,51,29,12.75,39,130.76,0,0,0,4,2
CA Pujara,2011-2013,14,10,0,143,51,14.30,152,94.07,0,1,1,19,1
KL Rahul,2013-2016,19,14,3,417,68*,37.90,287,145.29,0,4,1,41,16
R Rampaul,2013-2014,12,7,2,51,23*,10.20,50,102.00,0,0,3,3,2
S Rana,2014-2014,9,7,4,73,19*,24.33,65,112.30,0,0,0,7,1
KW Richardson,2016-2016,4,1,1,1,1*,-,1,100.00,0,0,0,0,0
RR Rossouw,2014-2015,5,5,0,53,24,10.60,51,103.92,0,0,1,3,3
JD Ryder,2009-2009,5,5,0,56,32,11.20,49,114.28,0,0,2,9,0
Sachin Baby,2016-2017,14,9,2,134,33,19.14,94,142.55,0,0,1,11,5
DJG Sammy,2015-2015,2,2,0,13,7,6.50,18,72.22,0,0,0,0,0
T Shamsi,2016-2016,4,-,-,-,-,-,-,-,-,-,-,-,-
KV Sharma,2009-2009,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0
RP Singh,2013-2013,11,-,-,-,-,-,-,-,-,-,-,-,-
TG Southee,2018-2018,8,4,2,52,36*,26.00,46,113.04,0,0,0,5,1
S Sriram,2010-2010,1,1,0,27,27,27.00,29,93.10,0,0,0,3,0
B Stanlake,2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-
MA Starc,2014-2015,27,12,5,96,29,13.71,98,97.95,0,0,0,10,0
DW Steyn,2008-2010,28,8,2,15,8,2.50,25,60.00,0,0,3,2,0
J Syed Mohammad,2011-2013,11,5,3,29,13*,14.50,26,111.53,0,0,0,4,0
YV Takawale,2014-2014,5,5,0,104,45,20.80,91,114.28,0,0,2,17,1
LRPL Taylor,2008-2010,22,22,5,517,81*,30.41,364,142.03,0,2,1,35,31
SS Tiwary,2011-2013,40,30,10,487,52,24.35,464,104.95,0,1,0,26,17
JD Unadkat,2013-2013,13,2,2,2,1*,-,2,100.00,0,0,0,0,0
RV Uthappa,2009-2010,31,27,4,549,68*,23.86,388,141.49,0,4,1,39,30
RE van der Merwe,2009-2010,11,9,0,123,35,13.66,100,123.00,0,0,0,8,8
JJ van der Wath,2011-2011,3,3,1,18,14*,9.00,16,112.50,0,0,1,1,1
DL Vettori,2011-2012,22,10,5,54,20,10.80,54,100.00,0,0,1,4,2
R Vinay Kumar,2008-2013,64,29,11,237,26*,13.16,204,116.17,0,0,2,16,7
Vishnu Vinod,2017-2017,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1
M Vohra,2018-2018,4,4,0,55,45,13.75,47,117.02,0,0,1,2,4
Washington Sundar,2018-2018,7,6,3,65,35,21.66,38,171.05,0,0,0,5,4
SR Watson,2016-2017,24,22,3,250,36,13.15,212,117.92,0,0,1,20,13
CL White,2008-2010,15,13,4,162,31*,18.00,135,120.00,0,0,1,11,7
D Wiese,2015-2016,15,8,4,127,47*,31.75,90,141.11,0,0,0,12,4
CR Woakes,2018-2018,5,4,2,17,11,8.50,19,89.47,0,0,0,1,1
UT Yadav,2018-2018,14,5,1,3,1*,0.75,11,27.27,0,0,2,0,0
Yuvraj Singh,2014-2014,14,14,3,376,83,34.18,278,135.25,0,3,1,22,28
VH Zol,2014-2014,3,2,0,29,16,14.50,26,111.53,0,0,0,3,1
