Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
LR Shukla,2008-2013,42,22,43.0,0,364,14,3/6,26.00,8.46,18.4,0,0,13,0
RK Singh,2018-2018,4,-,-,-,-,-,-,-,-,-,-,-,4,0
T Taibu,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,1,0
RN ten Doeschate,2011-2015,29,10,13.0,0,94,2,1/7,47.00,7.23,39.0,0,0,8,0
MK Tiwary,2010-2013,54,3,3.0,0,34,1,1/11,34.00,11.33,18.0,0,0,30,0
Umar Gul,2008-2008,6,6,22.3,1,184,12,4/23,15.33,8.17,11.2,1,0,0,0
JD Unadkat,2010-2016,12,11,34.2,0,316,10,3/26,31.60,9.20,20.6,0,0,3,0
RV Uthappa,2014-2018,74,-,-,-,-,-,-,-,-,-,-,-,32,22
MN van Wyk,2009-2009,5,-,-,-,-,-,-,-,-,-,-,-,7,0
R Vinay Kumar,2014-2018,11,11,35.5,0,346,9,2/26,38.44,9.65,23.8,0,0,3,0
CR Woakes,2017-2017,13,13,44.0,0,386,17,3/6,22.70,8.77,15.5,0,0,6,0
SA Yadav,2014-2017,54,1,1.0,0,8,0,-,-,8.00,-,0,0,25,0
UT Yadav,2014-2017,47,47,161.3,0,1393,48,4/33,29.02,8.62,20.1,1,0,12,0
Yashpal Singh,2009-2009,8,-,-,-,-,-,-,-,-,-,-,-,3,0
