Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
,,,,,,,,,,,,,,,
AN Ahmed,2010-2013,10,10,31.0,1,257,8,2/13,32.12,8.29,23.2,0,0,2,0
CJ Anderson,2014-2015,16,11,22.0,0,217,5,2/18,43.40,9.86,26.4,0,0,6,0
STR Binny,2010-2010,1,1,1.0,0,9,0,-,-,9.00,-,0,0,0,0
AC Blizzard,2011-2012,7,-,-,-,-,-,-,-,-,-,-,-,4,0
DJ Bravo,2008-2010,30,30,87.4,1,719,26,3/24,27.65,8.20,20.2,0,0,15,0
JJ Bumrah,2013-2018,61,61,227.0,3,1773,63,3/7,28.14,7.81,21.6,0,0,7,0
JC Buttler,2016-2017,24,-,-,-,-,-,-,-,-,-,-,-,8,0
YS Chahal,2013-2013,1,1,4.0,0,34,0,-,-,8.50,-,0,0,0,0
UBT Chand,2015-2016,7,-,-,-,-,-,-,-,-,-,-,-,3,0
SD Chitnis,2008-2008,3,2,6.0,0,60,2,2/40,30.00,10.00,18.0,0,0,1,0
NM Coulter-Nile,2013-2013,1,1,4.0,0,29,1,1/29,29.00,7.25,24.0,0,0,1,0
BCJ Cutting,2018-2018,9,7,17.0,0,168,2,1/12,84.00,9.88,51.0,0,0,7,0
A Dananjaya,2018-2018,1,1,4.0,0,47,0,-,-,11.75,-,0,0,0,0
M de Lange,2014-2015,2,2,8.0,1,62,2,2/32,31.00,7.75,24.0,0,0,0,0
R Dhawan,2013-2013,6,5,15.0,1,109,2,1/6,54.50,7.26,45.0,0,0,3,0
S Dhawan,2009-2010,15,-,-,-,-,-,-,-,-,-,-,-,6,0
JP Duminy,2009-2018,26,10,26.0,0,166,5,2/15,33.20,6.38,31.2,0,0,9,0
BR Dunk,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,3,0
CRD Fernando,2008-2010,10,10,39.0,0,298,17,4/18,17.52,7.64,13.7,1,0,3,0
AJ Finch,2015-2015,3,-,-,-,-,-,-,-,-,-,-,-,0,0
JEC Franklin,2011-2012,20,15,25.1,0,220,9,2/18,24.44,8.74,16.7,0,0,6,0
CM Gautam,2014-2014,9,-,-,-,-,-,-,-,-,-,-,-,3,3
HH Gibbs,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,0,0
S Gopal,2014-2016,6,6,19.1,0,154,7,2/25,22.00,8.03,16.4,0,0,1,0
MJ Guptill,2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,0,0
Harbhajan Singh,2008-2017,136,134,486.3,5,3385,127,5/18,26.65,6.95,22.9,1,1,40,0
MEK Hussey,2014-2014,9,-,-,-,-,-,-,-,-,-,-,-,3,0
Ishan Kishan,2018-2018,14,-,-,-,-,-,-,-,-,-,-,-,9,2
DJ Jacobs,2011-2012,7,-,-,-,-,-,-,-,-,-,-,-,3,2
ST Jayasuriya,2008-2010,30,21,49.0,1,390,13,3/14,30.00,7.95,22.6,0,0,4,0
MG Johnson,2013-2017,22,22,84.0,1,600,31,3/26,19.35,7.14,16.2,0,0,8,0
KD Karthik,2012-2013,36,-,-,-,-,-,-,-,-,-,-,-,17,4
Z Khan,2009-2014,26,26,91.4,1,664,26,3/21,25.53,7.24,21.1,0,0,6,0
MA Khote,2008-2008,4,2,5.0,0,51,2,2/29,25.50,10.20,15.0,0,0,0,0
DS Kulkarni,2008-2013,33,33,106.1,1,846,36,3/18,23.50,7.96,17.6,0,0,6,0
P Kumar,2014-2014,3,3,12.0,0,78,3,2/31,26.00,6.50,24.0,0,0,0,0
RE Levi,2012-2012,6,-,-,-,-,-,-,-,-,-,-,-,2,0
E Lewis,2018-2018,13,-,-,-,-,-,-,-,-,-,-,-,3,0
MJ McClenaghan,2015-2018,51,51,194.2,0,1661,68,4/21,24.42,8.54,17.1,1,0,1,0
CJ McKay,2012-2012,2,2,7.0,0,60,1,1/36,60.00,8.57,42.0,0,0,0,0
R McLaren,2010-2010,10,10,34.0,0,270,4,2/28,67.50,7.94,51.0,0,0,2,0
C Madan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,0,0
SL Malinga,2009-2017,110,110,426.2,8,2928,154,5/13,19.01,6.86,16.6,4,1,20,0
M Markande,2018-2018,14,14,44.0,0,368,15,4/23,24.53,8.36,17.6,1,0,3,0
GJ Maxwell,2013-2013,3,2,2.0,0,23,0,-,-,11.50,-,0,0,1,0
Mohammad Ashraful,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,2,0
AG Murtaza,2010-2011,8,8,32.0,0,208,6,2/18,34.66,6.50,32.0,0,0,2,0
Mustafizur Rahman,2018-2018,7,7,27.3,0,230,7,3/24,32.85,8.36,23.5,0,0,2,0
C Nanda,2009-2009,3,3,8.0,0,57,2,1/4,28.50,7.12,24.0,0,0,0,0
GR Napier,2009-2009,1,1,4.0,0,27,1,1/27,27.00,6.75,24.0,0,0,0,0
AM Nayar,2008-2010,30,9,19.0,0,152,5,3/13,30.40,8.00,22.8,0,0,9,0
A Nehra,2008-2008,14,14,44.5,0,348,12,3/13,29.00,7.76,22.4,0,0,7,0
A Nel,2008-2008,1,1,3.0,0,31,1,1/31,31.00,10.33,18.0,0,0,0,0
PP Ojha,2012-2015,38,37,130.2,1,1004,29,3/11,34.62,7.70,26.9,0,0,3,0
JDP Oram,2013-2013,1,1,4.0,0,22,0,-,-,5.50,-,0,0,0,0
MK Pandey,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,0,0
HH Pandya,2015-2018,50,44,102.2,0,923,28,3/24,32.96,9.01,21.9,0,0,32,0
KH Pandya,2016-2018,39,37,111.2,0,793,28,3/14,28.32,7.12,23.8,0,0,13,0
MM Patel,2011-2013,31,31,116.0,3,862,40,5/21,21.55,7.43,17.4,2,1,8,0
PA Patel,2015-2017,40,-,-,-,-,-,-,-,-,-,-,-,22,6
RV Pawar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,0,0
NLTC Perera,2012-2012,2,2,2.3,0,27,0,-,-,10.80,-,0,0,2,0
RJ Peterson,2012-2012,5,4,8.0,0,70,3,3/37,23.33,8.75,16.0,0,0,1,0
KA Pollard,2010-2018,132,81,199.5,0,1770,56,4/44,31.60,8.85,21.4,1,0,74,0
SM Pollock,2008-2008,13,13,46.0,1,301,11,3/12,27.36,6.54,25.0,0,0,2,0
RT Ponting,2013-2013,6,-,-,-,-,-,-,-,-,-,-,-,2,0
