Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
,,,,,,,,,,,,,,,
Anand Rajan,2011-2012,6,6,16.5,0,159,6,3/27,26.50,9.44,16.8,0,0,2,0
Anirudh Singh,2010-2010,5,-,-,-,-,-,-,-,-,-,-,-,3,0
Ankit Sharma,2012-2012,9,9,24.1,0,165,4,1/9,41.25,6.82,36.2,0,0,0,0
A Ashish Reddy,2012-2012,9,9,27.1,0,237,11,3/25,21.54,8.72,14.8,0,0,0,0
SB Bangar,2008-2008,11,9,25.0,0,219,4,2/34,54.75,8.76,37.5,0,0,2,0
AA Bilakhia,2009-2010,7,-,-,-,-,-,-,-,-,-,-,-,1,0
B Chipli,2011-2012,19,1,1.0,0,20,0,-,-,20.00,-,0,0,2,0
DT Christian,2011-2012,21,21,72.4,0,583,19,2/13,30.68,8.02,22.9,0,0,13,0
H Das,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KH Devdhar,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,0,1
S Dhawan,2011-2012,29,6,8.0,0,66,4,1/7,16.50,8.25,12.0,0,0,11,0
JP Duminy,2011-2012,19,14,30.0,0,247,5,1/3,49.40,8.23,36.0,0,0,8,0
FH Edwards,2009-2009,6,6,23.2,1,154,5,2/27,30.80,6.60,28.0,0,0,0,0
HH Gibbs,2008-2010,33,-,-,-,-,-,-,-,-,-,-,-,22,0
AC Gilchrist,2008-2010,46,-,-,-,-,-,-,-,-,-,-,-,25,13
MS Gony,2011-2012,9,9,33.0,0,292,7,3/31,41.71,8.84,28.2,0,0,1,0
Harmeet Singh,2009-2011,17,17,53.5,0,419,14,2/23,29.92,7.78,23.0,0,0,3,0
DJ Harris,2012-2012,4,2,3.0,0,26,0,-,-,8.66,-,0,0,2,0
RJ Harris,2009-2010,16,16,61.4,2,463,20,3/18,23.15,7.50,18.5,0,0,10,0
IR Jaggi,2011-2012,5,-,-,-,-,-,-,-,-,-,-,-,2,0
Jaskaran Singh,2009-2010,8,7,17.0,0,171,6,2/18,28.50,10.05,17.0,0,0,0,0
AA Jhunjhunwala,2012-2012,5,3,6.0,0,38,1,1/13,38.00,6.33,36.0,0,0,2,0
D Kalyankrishna,2008-2008,3,3,8.0,0,87,2,1/30,43.50,10.87,24.0,0,0,1,0
VVS Laxman,2008-2010,17,-,-,-,-,-,-,-,-,-,-,-,4,0
MJ Lumb,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,1,0
CA Lynn,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,1,0
I Malhotra,2011-2011,1,1,1.0,0,23,0,-,-,23.00,-,0,0,0,0
MR Marsh,2010-2010,3,3,10.0,0,88,2,1/19,44.00,8.80,30.0,0,0,0,0
A Mishra,2011-2012,28,28,100.2,2,735,32,4/9,22.96,7.32,18.8,1,0,3,0
MD Mishra,2010-2010,11,-,-,-,-,-,-,-,-,-,-,-,1,0
T Mishra,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,1,0
PP Ojha,2008-2011,54,53,186.1,0,1328,60,3/21,22.13,7.13,18.6,0,0,11,0
PA Patel,2012-2012,14,-,-,-,-,-,-,-,-,-,-,-,5,1
V Pratap Singh,2012-2012,9,9,34.0,0,296,10,2/31,29.60,8.70,20.4,0,0,0,0
DB Ravi Teja,2008-2012,30,2,3.0,0,28,1,1/19,28.00,9.33,18.0,0,0,11,0
PA Reddy,2012-2012,5,-,-,-,-,-,-,-,-,-,-,-,0,0
KAJ Roach,2010-2010,2,2,8.0,0,80,0,-,-,10.00,-,0,0,1,0
BB Samantray,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KC Sangakkara,2011-2012,25,-,-,-,-,-,-,-,-,-,-,-,26,2
PM Sarvesh Kumar,2008-2008,2,2,5.0,0,42,1,1/18,42.00,8.40,30.0,0,0,0,0
Shahid Afridi,2008-2008,10,10,30.0,0,225,9,3/28,25.00,7.50,20.0,0,0,4,0
I Sharma,2011-2011,12,12,44.0,0,314,11,5/12,28.54,7.13,24.0,0,1,3,0
R Sharma,2010-2010,6,6,20.4,0,167,5,2/42,33.40,8.08,24.8,0,0,1,0
RG Sharma,2008-2010,45,22,46.0,0,339,14,4/6,24.21,7.36,19.7,1,0,22,0
Shoaib Ahmed,2009-2009,8,7,17.0,0,152,5,2/20,30.40,8.94,20.4,0,0,4,0
LPC Silva,2008-2008,3,1,1.0,0,21,0,-,-,21.00,-,0,0,3,0
RP Singh,2008-2010,42,42,153.0,2,1229,51,4/22,24.09,8.03,18.0,1,0,16,0
DR Smith,2009-2010,11,10,17.5,0,160,2,1/22,80.00,8.97,53.5,0,0,6,0
