Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
,,,,,,,,,,,,,,,
Ankit Sharma,2014-2018,8,7,23.0,0,168,7,2/20,24.00,7.30,19.7,0,0,2,0
Anureet Singh,2018-2018,3,3,4.0,0,42,1,1/20,42.00,10.50,24.0,0,0,1,0
JC Archer,2018-2018,10,10,38.5,0,325,15,3/22,21.66,8.36,15.5,0,0,1,0
SA Asnodkar,2008-2011,20,-,-,-,-,-,-,-,-,-,-,-,6,0
S Badree,2013-2013,1,1,4.0,0,34,0,-,-,8.50,-,0,0,0,0
R Bhatia,2014-2015,14,14,43.0,0,329,12,3/23,27.41,7.65,21.5,0,0,5,0
STR Binny,2011-2018,64,42,68.0,0,521,16,2/14,32.56,7.66,25.5,0,0,15,0
J Botha,2009-2012,24,24,89.0,0,610,19,3/6,32.10,6.85,28.1,0,0,9,0
JC Buttler,2018-2018,13,-,-,-,-,-,-,-,-,-,-,-,9,1
LA Carseldine,2009-2009,5,1,1.0,0,6,1,1/6,6.00,6.00,6.0,0,0,4,0
UBT Chand,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,0,0
A Chandila,2012-2013,12,12,39.0,0,242,11,4/13,22.00,6.20,21.2,1,0,7,0
AA Chavan,2011-2013,13,13,41.2,0,326,8,2/23,40.75,7.88,31.0,0,0,3,0
SD Chitnis,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,0,0
P Chopra,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,0,0
KK Cooper,2012-2014,25,25,96.0,1,757,33,4/26,22.93,7.88,17.4,1,0,12,0
BCJ Cutting,2014-2014,1,1,4.0,0,31,1,1/31,31.00,7.75,24.0,0,0,1,0
P Dogra,2010-2010,9,-,-,-,-,-,-,-,-,-,-,-,2,0
AP Dole,2010-2010,3,3,11.0,0,112,5,2/36,22.40,10.18,13.2,0,0,2,0
ND Doshi,2011-2011,3,3,5.2,0,62,1,1/15,62.00,11.62,32.0,0,0,0,0
R Dravid,2011-2013,46,-,-,-,-,-,-,-,-,-,-,-,10,0
JP Faulkner,2013-2015,42,42,151.1,3,1272,47,5/16,27.06,8.41,19.2,0,2,9,0
FY Fazal,2010-2011,12,2,2.0,0,20,0,-,-,10.00,-,0,0,6,0
AJ Finch,2010-2010,1,1,1.1,0,5,0,-,-,4.28,-,0,0,0,0
S Gopal,2018-2018,11,10,31.0,0,236,11,4/16,21.45,7.61,16.9,1,0,3,0
SP Goswami,2012-2012,11,-,-,-,-,-,-,-,-,-,-,-,4,4
K Gowtham,2018-2018,15,15,40.0,0,312,11,2/12,28.36,7.80,21.8,0,0,10,0
Harmeet Singh,2013-2013,1,1,4.0,0,34,1,1/34,34.00,8.50,24.0,0,0,0,0
SM Harwood,2009-2009,3,3,10.0,0,73,3,2/25,24.33,7.30,20.0,0,0,2,0
T Henderson,2009-2009,2,2,6.0,0,40,1,1/30,40.00,6.66,36.0,0,0,0,0
BJ Hodge,2012-2014,33,3,3.0,0,24,1,1/13,24.00,8.00,18.0,0,0,15,0
GB Hogg,2012-2013,10,10,39.2,0,284,10,2/31,28.40,7.22,23.6,0,0,1,0
DJ Hooda,2015-2015,14,7,15.1,0,129,1,1/35,129.00,8.50,91.0,0,0,1,0
Iqbal Abdulla,2014-2014,1,1,2.0,0,17,0,-,-,8.50,-,0,0,1,0
RA Jadeja,2008-2009,27,12,25.3,0,172,6,3/15,28.66,6.74,25.5,0,0,11,0
AA Jhunjhunwala,2010-2010,13,5,6.1,0,69,0,-,-,11.18,-,0,0,4,0
M Kaif,2008-2008,16,-,-,-,-,-,-,-,-,-,-,-,8,0
Kamran Akmal,2008-2008,6,-,-,-,-,-,-,-,-,-,-,-,5,4
Kamran Khan,2009-2010,8,8,23.4,0,177,9,3/18,19.66,7.47,15.7,0,0,4,0
H Klaasen,2018-2018,4,-,-,-,-,-,-,-,-,-,-,-,3,4
T Kohli,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,1,0
DS Kulkarni,2014-2018,27,27,81.5,2,686,23,2/9,29.82,8.38,21.3,0,0,8,0
B Laughlin,2018-2018,7,7,20.5,0,211,9,2/15,23.44,10.12,13.8,0,0,1,0
DS Lehmann,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,0,0
MK Lomror,2018-2018,2,2,3.0,0,27,0,-,-,9.00,-,0,0,0,0
MJ Lumb,2010-2010,11,-,-,-,-,-,-,-,-,-,-,-,4,0
VS Malik,2013-2014,4,4,13.0,0,88,3,2/14,29.33,6.76,26.0,0,0,1,0
DR Martyn,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,0,0
AD Mascarenhas,2008-2010,8,8,31.2,1,226,12,3/20,18.83,7.21,15.6,0,0,1,0
AL Menaria,2011-2013,29,12,18.2,0,144,3,2/20,48.00,7.85,36.6,0,0,5,0
M Morkel,2009-2010,4,4,14.0,0,106,0,-,-,7.57,-,0,0,2,0
CH Morris,2015-2015,11,11,42.0,0,311,13,4/23,23.92,7.40,19.3,1,0,3,0
KK Nair,2014-2015,25,-,-,-,-,-,-,-,-,-,-,-,7,0
S Narwal,2010-2010,5,5,15.4,0,185,5,3/36,37.00,11.80,18.8,0,0,1,0
AM Nayar,2014-2014,5,-,-,-,-,-,-,-,-,-,-,-,1,0
NV Ojha,2009-2010,22,-,-,-,-,-,-,-,-,-,-,-,6,6
JDP Oram,2011-2011,2,2,4.0,0,45,1,1/32,45.00,11.25,24.0,0,0,0,0
Pankaj Singh,2008-2012,12,12,35.0,0,322,7,2/18,46.00,9.20,30.0,0,0,1,0
MM Patel,2008-2010,30,30,102.5,2,779,33,3/17,23.60,7.57,18.6,0,0,7,0
NK Patel,2008-2009,9,-,-,-,-,-,-,-,-,-,-,-,6,0
YK Pathan,2008-2010,43,35,97.1,0,719,20,3/22,35.95,7.39,29.1,0,0,14,0
AG Paunikar,2010-2011,5,-,-,-,-,-,-,-,-,-,-,-,1,0
MDKJ Perera,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,0,0
RJ Quiney,2009-2009,7,-,-,-,-,-,-,-,-,-,-,-,1,0
AM Rahane,2011-2018,86,-,-,-,-,-,-,-,-,-,-,-,35,0
AS Raut,2009-2011,22,5,5.0,0,44,0,-,-,8.80,-,0,0,9,0
M Rawat,2008-2009,16,-,-,-,-,-,-,-,-,-,-,-,15,1
KW Richardson,2014-2014,7,7,27.0,0,206,9,2/18,22.88,7.62,18.0,0,0,3,0
