,player_name,cluster
323,SS Agarwal,5
324,SS Mundhe,5
325,SS Sarkar,5
326,ST Jayasuriya,0
327,STR Binny,3
328,SW Tait,3
329,Sachin Baby,5
330,Sandeep Sharma,1
331,Shahid Afridi,5
332,Shakib Al Hasan,1
333,Shivam Mavi,0
334,Shivam Sharma,5
335,Shoaib Ahmed,5
336,Shoaib Akhtar,5
337,Shoaib Malik,5
338,Sohail Tanvir,0
340,Swapnil Singh,5
341,T Henderson,5
342,T Natarajan,5
343,T Shamsi,5
344,T Thushara,5
345,TA Boult,4
346,TG Southee,4
347,TK Curran,5
348,TL Suman,5
349,TM Dilshan,0
350,TM Head,5
351,TP Sudhindra,5
352,TS Mills,5
354,UT Yadav,2
355,Umar Gul,5
356,V Kohli,0
357,V Pratap Singh,0
358,V Sehwag,0
359,V Shankar,5
360,VR Aaron,4
361,VRV Singh,3
362,VS Malik,0
364,VY Mahesh,0
365,WA Mota,5
366,WD Parnell,3
367,WPUJC Vaas,0
368,Washington Sundar,0
370,Y Nagar,5
371,Y Venugopal Rao,0
372,YA Abdulla,0
373,YK Pathan,4
374,YS Chahal,1
375,Yuvraj Singh,4
376,Z Khan,6
