,player_name,cluster
0,A Ashish Reddy,9
1,A Chopra,0
2,A Choudhary,0
3,A Flintoff,0
4,A Kumble,0
5,A Mishra,4
6,A Mithun,0
7,A Mukund,0
8,A Nehra,0
9,A Singh,0
10,A Symonds,5
11,A Uniyal,0
12,A Zampa,0
13,AA Bilakhia,0
14,AA Chavan,0
15,AA Jhunjhunwala,9
16,AA Noffke,0
17,AB Agarkar,9
18,AB Barath,0
19,AB Dinda,0
20,AB McDonald,9
21,AB de Villiers,3
22,AC Blizzard,9
23,AC Gilchrist,6
24,AC Thomas,0
25,AC Voges,9
26,AD Hales,9
27,AD Mascarenhas,0
28,AD Mathews,5
29,AD Nath,0
30,AD Russell,5
31,AF Milne,0
32,AG Murtaza,0
33,AG Paunikar,0
34,AJ Finch,6
35,AJ Tye,0
36,AL Menaria,4
37,AM Nayar,5
38,AM Rahane,8
39,AN Ahmed,0
40,AN Ghosh,0
41,AP Dole,0
42,AP Majumdar,0
43,AP Tare,4
44,AR Patel,5
45,AS Rajpoot,0
46,AS Raut,9
47,AS Yadav,0
48,AT Rayudu,8
49,AUK Pathan,0
50,Abhishek Sharma,0
51,Anirudh Singh,0
52,Ankit Sharma,0
53,Ankit Soni,0
54,Anureet Singh,0
55,Azhar Mahmood,4
56,B Akhil,0
57,B Chipli,4
58,B Kumar,9
59,B Laughlin,0
60,B Lee,9
61,B Sumanth,0
62,BA Bhatt,0
63,BA Stokes,4
64,BAW Mendis,0
65,BB McCullum,1
66,BB Samantray,9
67,BB Sran,0
68,BCJ Cutting,9
69,BE Hendricks,0
70,BJ Haddin,0
71,BJ Hodge,2
72,BJ Rohrer,9
73,BMAJ Mendis,0
74,BR Dunk,0
75,Basil Thampi,0
76,Bipul Sharma,9
77,C Madan,0
78,C Munro,9
79,C Nanda,0
80,C de Grandhomme,9
81,CA Ingram,0
82,CA Lynn,5
83,CA Pujara,4
84,CH Gayle,3
85,CH Morris,4
86,CJ Anderson,4
87,CJ Ferguson,9
88,CJ Jordan,0
89,CJ McKay,0
90,CK Kapugedera,0
91,CK Langeveldt,0
92,CL White,5
93,CM Gautam,9
94,CR Brathwaite,9
95,CR Woakes,0
96,D Kalyankrishna,0
97,D Salunkhe,0
98,D Wiese,9
99,D du Preez,0
100,DA Miller,6
101,DA Warner,3
102,DB Das,4
103,DB Ravi Teja,4
104,DE Bollinger,0
105,DH Yagnik,9
106,DJ Bravo,2
107,DJ Harris,9
108,DJ Hooda,4
109,DJ Hussey,2
110,DJ Jacobs,9
111,DJ Muthuswami,0
112,DJ Thornely,0
113,DJG Sammy,4
114,DJM Short,9
115,DL Chahar,0
116,DL Vettori,9
117,DNT Zoysa,0
118,DP Nannes,0
119,DPMD Jayawardene,6
120,DR Martyn,0
121,DR Shorey,0
122,DR Smith,1
123,DS Kulkarni,9
124,DS Lehmann,0
125,DT Christian,4
126,DT Patil,0
127,DW Steyn,9
128,E Lewis,4
129,EJG Morgan,5
130,ER Dwivedi,0
131,F Behardien,0
132,F du Plessis,2
133,FH Edwards,0
134,FY Fazal,9
135,G Gambhir,3
136,GB Hogg,0
137,GC Smith,5
138,GD McGrath,0
139,GH Vihari,4
140,GJ Bailey,5
141,GJ Maxwell,2
142,GR Napier,0
143,Gurkeerat Singh,4
144,H Das,0
145,H Klaasen,0
146,HH Gibbs,5
147,HH Pandya,5
148,HM Amla,4
149,HV Patel,9
150,Harbhajan Singh,5
151,Harmeet Singh,0
152,Harpreet Singh,0
153,I Sharma,0
154,IC Pandey,0
155,IK Pathan,2
156,IR Jaggi,0
157,IS Sodhi,0
158,Imran Tahir,0
159,Iqbal Abdulla,9
160,Ishan Kishan,4
161,J Arunkumar,0
162,J Botha,4
163,J Suchith,0
164,J Syed Mohammad,0
165,J Theron,0
166,J Yadav,0
167,JA Morkel,5
168,JC Archer,0
169,JC Buttler,5
170,JD Ryder,4
171,JD Unadkat,0
172,JDP Oram,9
173,JDS Neesham,0
174,JE Taylor,0
175,JEC Franklin,4
176,JH Kallis,1
177,JJ Bumrah,0
178,JJ Roy,9
179,JJ van der Wath,0
180,JM Kemp,0
181,JO Holder,0
182,JP Duminy,6
183,JP Faulkner,4
184,JPR Scantlebury-Searles,0
185,JR Hopes,4
186,Jaskaran Singh,0
187,Joginder Sharma,0
188,K Goel,9
189,K Gowtham,9
190,K Rabada,0
191,KA Pollard,1
192,KAJ Roach,0
193,KB Arun Karthik,0
194,KC Cariappa,0
195,KC Sangakkara,6
196,KD Karthik,8
197,KH Pandya,5
198,KJ Abbott,0
199,KK Cooper,9
200,KK Nair,2
201,KL Rahul,2
202,KM Jadhav,5
203,KP Appanna,0
204,KP Pietersen,5
205,KS Williamson,2
206,KV Sharma,4
207,KW Richardson,0
208,Kamran Akmal,9
209,Kamran Khan,0
210,Karanveer Singh,0
211,Kuldeep Yadav,0
212,L Balaji,0
213,L Ronchi,0
214,LA Carseldine,0
215,LA Pomersbach,4
216,LE Plunkett,0
217,LJ Wright,9
218,LMP Simmons,5
219,LPC Silva,0
220,LR Shukla,4
221,LRPL Taylor,5
222,M Ashwin,0
223,M Kaif,9
224,M Kartik,9
225,M Klinger,0
226,M Manhas,4
227,M Markande,0
228,M Morkel,9
229,M Muralitharan,0
230,M Ntini,0
231,M Rawat,0
232,M Vijay,1
233,M Vohra,5
234,M de Lange,0
235,MA Agarwal,5
236,MA Khote,0
237,MA Starc,9
238,MA Wood,0
239,MC Henriques,5
240,MC Juneja,9
241,MD Mishra,9
242,MDKJ Perera,0
243,MEK Hussey,6
244,MF Maharoof,9
245,MG Johnson,9
246,MJ Clarke,9
247,MJ Guptill,9
248,MJ Lumb,9
249,MJ McClenaghan,0
250,MK Lomror,0
251,MK Pandey,1
