"batsman","bowler","no_of_times","no_of_balls","p_out","p_not_out"
"CH Gayle","KP Appanna",1,2,0.5,0.5
"CH Gayle","KV Sharma",2,4,0.5,0.5
"CH Gayle","LR Shukla",1,4,0.25,0.75
"CH Gayle","M Morkel",2,43,0.0465116279069767,0.953488372093023
"CH Gayle","MC Henriques",1,9,0.111111111111111,0.888888888888889
"CH Gayle","MM Patel",2,27,0.0740740740740741,0.925925925925926
"CH Gayle","MS Gony",1,29,0.0344827586206897,0.96551724137931
"CH Gayle","P Awana",2,39,0.0512820512820513,0.948717948717949
"CH Gayle","P Kumar",1,93,0.010752688172043,0.989247311827957
"CH Gayle","Pankaj Singh",1,8,0.125,0.875
"CH Gayle","PP Chawla",1,59,0.0169491525423729,0.983050847457627
"CH Gayle","PV Tambe",1,7,0.142857142857143,0.857142857142857
"CH Gayle","R Ashwin",4,59,0.0677966101694915,0.932203389830508
"CH Gayle","R Bhatia",2,33,0.0606060606060606,0.939393939393939
"CH Gayle","R Sharma",1,14,0.0714285714285714,0.928571428571429
"CH Gayle","R Shukla",1,3,0.333333333333333,0.666666666666667
"CH Gayle","R Vinay Kumar",1,3,0.333333333333333,0.666666666666667
"CH Gayle","RA Jadeja",1,18,0.0555555555555556,0.944444444444444
"CH Gayle","RJ Harris",1,16,0.0625,0.9375
"CH Gayle","RP Singh",1,29,0.0344827586206897,0.96551724137931
"CH Gayle","S Nadeem",1,2,0.5,0.5
"CH Gayle","Sandeep Sharma",4,49,0.0816326530612245,0.918367346938776
"CH Gayle","SJ Srivastava",1,12,0.0833333333333333,0.916666666666667
"CH Gayle","SK Raina",1,43,0.0232558139534884,0.976744186046512
"CH Gayle","SK Warne",1,17,0.0588235294117647,0.941176470588235
"CH Gayle","SL Malinga",1,66,0.0151515151515152,0.984848484848485
"CH Gayle","SP Narine",2,45,0.0444444444444444,0.955555555555556
"CH Gayle","SR Watson",2,25,0.08,0.92
"CH Gayle","TG Southee",2,12,0.166666666666667,0.833333333333333
"CH Gayle","TL Suman",1,5,0.2,0.8
"CH Gayle","UT Yadav",2,31,0.0645161290322581,0.935483870967742
"CH Gayle","YA Abdulla",1,14,0.0714285714285714,0.928571428571429
"CH Gayle","Z Khan",3,39,0.0769230769230769,0.923076923076923
"CH Morris","AR Patel",1,5,0.2,0.8
"CH Morris","CR Woakes",1,5,0.2,0.8
"CH Morris","Harbhajan Singh",1,12,0.0833333333333333,0.916666666666667
"CH Morris","Iqbal Abdulla",1,5,0.2,0.8
"CH Morris","MA Starc",1,3,0.333333333333333,0.666666666666667
"CH Morris","NM Coulter-Nile",1,7,0.142857142857143,0.857142857142857
"CH Morris","PP Chawla",1,5,0.2,0.8
"CH Morris","Sandeep Sharma",1,9,0.111111111111111,0.888888888888889
"CH Morris","SL Malinga",1,1,1,0
"CH Morris","UT Yadav",1,5,0.2,0.8
"CJ Anderson","A Nehra",1,8,0.125,0.875
"CJ Anderson","AR Patel",1,24,0.0416666666666667,0.958333333333333
"CJ Anderson","CH Morris",1,12,0.0833333333333333,0.916666666666667
"CJ Anderson","DW Steyn",1,4,0.25,0.75
"CJ Anderson","JD Unadkat",1,3,0.333333333333333,0.666666666666667
"CJ Anderson","M Morkel",1,12,0.0833333333333333,0.916666666666667
"CJ Anderson","MA Starc",1,2,0.5,0.5
"CJ Anderson","MJ McClenaghan",1,4,0.25,0.75
"CJ Anderson","R Ashwin",1,12,0.0833333333333333,0.916666666666667
"CJ Anderson","R Dhawan",1,9,0.111111111111111,0.888888888888889
"CJ Anderson","SL Malinga",1,5,0.2,0.8
"CJ Anderson","SP Narine",1,14,0.0714285714285714,0.928571428571429
"CJ Anderson","TM Head",1,1,1,0
"CJ Anderson","VR Aaron",1,11,0.0909090909090909,0.909090909090909
"CJ Anderson","Washington Sundar",1,1,1,0
"CJ Anderson","YS Chahal",1,10,0.1,0.9
"CJ Ferguson","Harmeet Singh",1,3,0.333333333333333,0.666666666666667
"CJ Ferguson","J Botha",1,3,0.333333333333333,0.666666666666667
"CJ Ferguson","JP Duminy",1,1,1,0
"CJ Ferguson","R Bhatia",1,9,0.111111111111111,0.888888888888889
"CJ Ferguson","Shakib Al Hasan",1,8,0.125,0.875
"CJ Jordan","NM Coulter-Nile",1,1,1,0
"CJ McKay","IK Pathan",1,7,0.142857142857143,0.857142857142857
"CK Kapugedera","DS Kulkarni",1,2,0.5,0.5
"CK Kapugedera","Sohail Tanvir",1,4,0.25,0.75
"CK Kapugedera","VY Mahesh",1,1,1,0
"CK Langeveldt","AB McDonald",1,1,1,0
"CK Langeveldt","SJ Srivastava",1,2,0.5,0.5
"CL White","A Chandila",1,3,0.333333333333333,0.666666666666667
"CL White","A Mishra",1,6,0.166666666666667,0.833333333333333
"CL White","AB Agarkar",1,6,0.166666666666667,0.833333333333333
"CL White","B Kumar",1,23,0.0434782608695652,0.956521739130435
"CL White","B Lee",1,4,0.25,0.75
"CL White","DJ Hussey",1,1,1,0
"CL White","DR Smith",1,8,0.125,0.875
"CL White","JA Morkel",1,22,0.0454545454545455,0.954545454545455
"CL White","JH Kallis",1,6,0.166666666666667,0.833333333333333
"CL White","MC Henriques",1,9,0.111111111111111,0.888888888888889
"CL White","MM Patel",1,12,0.0833333333333333,0.916666666666667
"CL White","MM Sharma",1,2,0.5,0.5
"CL White","MN Samuels",2,14,0.142857142857143,0.857142857142857
"CL White","MS Gony",1,6,0.166666666666667,0.833333333333333
"CL White","P Parameswaran",2,7,0.285714285714286,0.714285714285714
"CL White","PP Chawla",1,23,0.0434782608695652,0.956521739130435
"CL White","R Bhatia",1,19,0.0526315789473684,0.947368421052632
"CL White","R Vinay Kumar",2,23,0.0869565217391304,0.91304347826087
"CL White","RP Singh",1,7,0.142857142857143,0.857142857142857
"CL White","S Nadeem",1,26,0.0384615384615385,0.961538461538462
"CL White","S Sreesanth",1,9,0.111111111111111,0.888888888888889
"CL White","Sandeep Sharma",1,5,0.2,0.8
"CL White","SB Jakati",1,9,0.111111111111111,0.888888888888889
"CL White","SK Trivedi",1,11,0.0909090909090909,0.909090909090909
"CL White","SL Malinga",1,17,0.0588235294117647,0.941176470588235
"CL White","SR Watson",1,9,0.111111111111111,0.888888888888889
"CL White","VR Aaron",1,6,0.166666666666667,0.833333333333333
"CL White","WD Parnell",1,3,0.333333333333333,0.666666666666667
"CM Gautam","A Nehra",1,3,0.333333333333333,0.666666666666667
"CM Gautam","AD Mathews",1,3,0.333333333333333,0.666666666666667
"CM Gautam","B Kumar",1,10,0.1,0.9
"CM Gautam","M Morkel",1,5,0.2,0.8
"CM Gautam","PP Chawla",1,5,0.2,0.8
"CM Gautam","R Dhawan",1,6,0.166666666666667,0.833333333333333
"CM Gautam","S Badree",1,8,0.125,0.875
"CM Gautam","SR Watson",1,1,1,0
"CM Gautam","VR Aaron",1,10,0.1,0.9
"CR Brathwaite","AD Russell",1,2,0.5,0.5
"CR Brathwaite","CH Gayle",1,2,0.5,0.5
"CR Brathwaite","DS Kulkarni",1,3,0.333333333333333,0.666666666666667
"CR Brathwaite","Mustafizur Rahman",1,2,0.5,0.5
"CR Brathwaite","PP Chawla",1,5,0.2,0.8
"CR Brathwaite","Sandeep Sharma",1,4,0.25,0.75
"CR Brathwaite","SM Boland",1,3,0.333333333333333,0.666666666666667
"CR Brathwaite","YS Chahal",1,2,0.5,0.5
"CR Woakes","A Mishra",1,2,0.5,0.5
"CR Woakes","SL Malinga",1,4,0.25,0.75
"CR Woakes","TS Mills",1,3,0.333333333333333,0.666666666666667
"D du Preez","A Singh",1,3,0.333333333333333,0.666666666666667
"D Kalyankrishna","IK Pathan",1,1,1,0
"D Salunkhe","JR Hopes",1,3,0.333333333333333,0.666666666666667
"D Wiese","DJ Bravo",2,19,0.105263157894737,0.894736842105263
"D Wiese","DS Kulkarni",1,6,0.166666666666667,0.833333333333333
"D Wiese","MM Sharma",1,7,0.142857142857143,0.857142857142857
"DA Miller","A Mishra",1,33,0.0303030303030303,0.96969696969697
"DA Miller","AB McDonald",1,8,0.125,0.875
"DA Miller","AD Russell",1,8,0.125,0.875
"DA Miller","B Kumar",1,24,0.0416666666666667,0.958333333333333
"DA Miller","CH Morris",1,25,0.04,0.96
"DA Miller","CJ Anderson",1,6,0.166666666666667,0.833333333333333
"DA Miller","DJ Bravo",1,21,0.0476190476190476,0.952380952380952
"DA Miller","DJ Hooda",1,17,0.0588235294117647,0.941176470588235
"DA Miller","DJG Sammy",1,8,0.125,0.875
"DA Miller","DR Smith",1,13,0.0769230769230769,0.923076923076923
"DA Miller","DS Kulkarni",2,12,0.166666666666667,0.833333333333333
"DA Miller","JA Morkel",1,17,0.0588235294117647,0.941176470588235
"DA Miller","JP Duminy",2,28,0.0714285714285714,0.928571428571429
"DA Miller","KA Pollard",1,21,0.0476190476190476,0.952380952380952
"DA Miller","KK Cooper",1,11,0.0909090909090909,0.909090909090909
"DA Miller","KV Sharma",1,19,0.0526315789473684,0.947368421052632
"DA Miller","M Ashwin",1,3,0.333333333333333,0.666666666666667
"DA Miller","M Muralitharan",1,2,0.5,0.5
"DA Miller","MC Henriques",1,25,0.04,0.96
"DA Miller","MG Johnson",1,4,0.25,0.75
"DA Miller","NM Coulter-Nile",1,6,0.166666666666667,0.833333333333333
"DA Miller","P Negi",1,12,0.0833333333333333,0.916666666666667
"DA Miller","PP Chawla",2,30,0.0666666666666667,0.933333333333333
"DA Miller","R Ashwin",1,37,0.027027027027027,0.972972972972973
"DA Miller","RA Jadeja",1,47,0.0212765957446809,0.978723404255319
"DA Miller","Rashid Khan",1,3,0.333333333333333,0.666666666666667
"DA Miller","S Aravind",1,11,0.0909090909090909,0.909090909090909
"DA Miller","S Ladda",1,4,0.25,0.75
"DA Miller","SL Malinga",3,16,0.1875,0.8125
"DA Miller","SMSM Senanayake",1,6,0.166666666666667,0.833333333333333
"DA Miller","SR Watson",1,10,0.1,0.9
"DA Miller","UT Yadav",2,36,0.0555555555555556,0.944444444444444
"DA Miller","VR Aaron",1,11,0.0909090909090909,0.909090909090909
"DA Miller","YK Pathan",1,1,1,0
"DA Miller","YS Chahal",3,23,0.130434782608696,0.869565217391304
"DA Warner","A Choudhary",1,4,0.25,0.75
"DA Warner","A Kumble",1,4,0.25,0.75
"DA Warner","A Mishra",1,33,0.0303030303030303,0.96969696969697
"DA Warner","A Singh",1,7,0.142857142857143,0.857142857142857
"DA Warner","AB Agarkar",1,15,0.0666666666666667,0.933333333333333
"DA Warner","AB Dinda",2,43,0.0465116279069767,0.953488372093023
"DA Warner","AR Patel",1,43,0.0232558139534884,0.976744186046512
"DA Warner","BA Stokes",1,8,0.125,0.875
"DA Warner","BE Hendricks",1,10,0.1,0.9
"DA Warner","BW Hilfenhaus",3,11,0.272727272727273,0.727272727272727
"DA Warner","CH Morris",1,23,0.0434782608695652,0.956521739130435
"DA Warner","CJ Anderson",1,2,0.5,0.5
"DA Warner","CR Brathwaite",1,12,0.0833333333333333,0.916666666666667
"DA Warner","CR Woakes",1,8,0.125,0.875
"DA Warner","CRD Fernando",1,5,0.2,0.8
"DA Warner","DJ Bravo",1,43,0.0232558139534884,0.976744186046512
"DA Warner","DS Kulkarni",2,52,0.0384615384615385,0.961538461538462
"DA Warner","DW Steyn",2,37,0.0540540540540541,0.945945945945946
"DA Warner","GJ Maxwell",1,21,0.0476190476190476,0.952380952380952
"DA Warner","Harbhajan Singh",3,88,0.0340909090909091,0.965909090909091
"DA Warner","I Sharma",1,35,0.0285714285714286,0.971428571428571
"DA Warner","IC Pandey",1,11,0.0909090909090909,0.909090909090909
"DA Warner","J Yadav",1,50,0.02,0.98
"DA Warner","JA Morkel",1,30,0.0333333333333333,0.966666666666667
"DA Warner","JD Unadkat",1,21,0.0476190476190476,0.952380952380952
"DA Warner","JH Kallis",1,24,0.0416666666666667,0.958333333333333
"DA Warner","JP Duminy",2,22,0.0909090909090909,0.909090909090909
"DA Warner","JP Faulkner",1,21,0.0476190476190476,0.952380952380952
"DA Warner","JW Hastings",1,12,0.0833333333333333,0.916666666666667
"DA Warner","Kuldeep Yadav",2,29,0.0689655172413793,0.931034482758621
"DA Warner","L Balaji",3,25,0.12,0.88
"DA Warner","M Morkel",2,27,0.0740740740740741,0.925925925925926
"DA Warner","MA Starc",1,25,0.04,0.96
"DA Warner","MC Henriques",1,17,0.0588235294117647,0.941176470588235
"DA Warner","MG Johnson",1,22,0.0454545454545455,0.954545454545455
"DA Warner","MJ McClenaghan",2,33,0.0606060606060606,0.939393939393939
"DA Warner","MM Sharma",1,48,0.0208333333333333,0.979166666666667
"DA Warner","Mohammed Shami",1,14,0.0714285714285714,0.928571428571429
"DA Warner","MR Marsh",1,2,0.5,0.5
"DA Warner","NM Coulter-Nile",1,42,0.0238095238095238,0.976190476190476
"DA Warner","P Kumar",3,92,0.0326086956521739,0.967391304347826
"DA Warner","PP Chawla",1,47,0.0212765957446809,0.978723404255319
"DA Warner","PV Tambe",1,20,0.05,0.95
"DA Warner","R Ashwin",1,50,0.02,0.98
"DA Warner","R Bhatia",1,19,0.0526315789473684,0.947368421052632
"DA Warner","R Rampaul",1,9,0.111111111111111,0.888888888888889
"DA Warner","R Vinay Kumar",1,4,0.25,0.75
"DA Warner","RJ Harris",2,25,0.08,0.92
"DA Warner","RP Singh",1,31,0.032258064516129,0.967741935483871
"DA Warner","S Aravind",1,11,0.0909090909090909,0.909090909090909
"DA Warner","S Dhawan",1,8,0.125,0.875
"DA Warner","S Narwal",1,6,0.166666666666667,0.833333333333333
"DA Warner","S Sreesanth",2,26,0.0769230769230769,0.923076923076923
"DA Warner","Sandeep Sharma",2,63,0.0317460317460317,0.968253968253968
"DA Warner","SB Jakati",1,5,0.2,0.8
"DA Warner","Shakib Al Hasan",1,13,0.0769230769230769,0.923076923076923
"DA Warner","SJ Srivastava",1,15,0.0666666666666667,0.933333333333333
"DA Warner","SK Raina",1,36,0.0277777777777778,0.972222222222222
"DA Warner","SL Malinga",2,56,0.0357142857142857,0.964285714285714
"DA Warner","SP Narine",2,70,0.0285714285714286,0.971428571428571
"DA Warner","SR Watson",2,20,0.1,0.9
"DA Warner","STR Binny",1,11,0.0909090909090909,0.909090909090909
"DA Warner","T Shamsi",1,11,0.0909090909090909,0.909090909090909
"DA Warner","UT Yadav",3,42,0.0714285714285714,0.928571428571429
"DA Warner","VR Aaron",1,31,0.032258064516129,0.967741935483871
"DA Warner","WD Parnell",1,20,0.05,0.95
"DA Warner","WPUJC Vaas",1,14,0.0714285714285714,0.928571428571429
"DA Warner","YS Chahal",1,52,0.0192307692307692,0.980769230769231
"DA Warner","Z Khan",2,38,0.0526315789473684,0.947368421052632
"DB Das","A Nehra",1,7,0.142857142857143,0.857142857142857
"DB Das","Azhar Mahmood",1,1,1,0
"DB Das","DJ Bravo",1,13,0.0769230769230769,0.923076923076923
"DB Das","Harbhajan Singh",1,10,0.1,0.9
"DB Das","KK Cooper",1,3,0.333333333333333,0.666666666666667
"DB Das","M Ntini",1,1,1,0
"DB Das","R Ashwin",1,8,0.125,0.875
"DB Das","S Sreesanth",2,7,0.285714285714286,0.714285714285714
"DB Das","SL Malinga",1,3,0.333333333333333,0.666666666666667
"DB Das","Sohail Tanvir",2,6,0.333333333333333,0.666666666666667
"DB Ravi Teja","A Mishra",1,3,0.333333333333333,0.666666666666667
"DB Ravi Teja","A Singh",1,3,0.333333333333333,0.666666666666667
"DB Ravi Teja","AM Salvi",1,3,0.333333333333333,0.666666666666667
"DB Ravi Teja","B Lee",1,5,0.2,0.8
"DB Ravi Teja","DJ Bravo",1,10,0.1,0.9
"DB Ravi Teja","DP Nannes",1,6,0.166666666666667,0.833333333333333
"DB Ravi Teja","JA Morkel",1,8,0.125,0.875
"DB Ravi Teja","JD Unadkat",1,5,0.2,0.8
"DB Ravi Teja","MR Marsh",1,2,0.5,0.5
"DB Ravi Teja","PC Valthaty",1,13,0.0769230769230769,0.923076923076923
"DB Ravi Teja","RA Jadeja",1,3,0.333333333333333,0.666666666666667
"DB Ravi Teja","SK Warne",1,1,1,0
"DB Ravi Teja","SL Malinga",3,12,0.25,0.75
"DB Ravi Teja","SP Narine",1,3,0.333333333333333,0.666666666666667
"DB Ravi Teja","Umar Gul",1,1,1,0
"DB Ravi Teja","V Kohli",1,2,0.5,0.5
"DE Bollinger","SL Malinga",1,3,0.333333333333333,0.666666666666667
"DH Yagnik","DE Bollinger",1,5,0.2,0.8
"DH Yagnik","DJG Sammy",1,2,0.5,0.5
"DH Yagnik","Harbhajan Singh",2,17,0.117647058823529,0.882352941176471
"DH Yagnik","R Ashwin",1,9,0.111111111111111,0.888888888888889
"DH Yagnik","R Sharma",1,4,0.25,0.75
"DH Yagnik","RP Singh",1,2,0.5,0.5
"DH Yagnik","SL Malinga",1,15,0.0666666666666667,0.933333333333333
"DH Yagnik","SMSM Senanayake",1,2,0.5,0.5
"DJ Bravo","A Nehra",1,11,0.0909090909090909,0.909090909090909
"DJ Bravo","AB Dinda",1,20,0.05,0.95
"DJ Bravo","AD Russell",1,11,0.0909090909090909,0.909090909090909
"DJ Bravo","AR Patel",1,1,1,0
"DJ Bravo","B Kumar",1,9,0.111111111111111,0.888888888888889
"DJ Bravo","BB Sran",2,4,0.5,0.5
"DJ Bravo","DJ Muthuswami",1,1,1,0
"DJ Bravo","DL Vettori",1,1,1,0
"DJ Bravo","DP Nannes",1,6,0.166666666666667,0.833333333333333
"DJ Bravo","FH Edwards",1,4,0.25,0.75
"DJ Bravo","GS Sandhu",1,3,0.333333333333333,0.666666666666667
"DJ Bravo","I Sharma",1,16,0.0625,0.9375
"DJ Bravo","Iqbal Abdulla",1,4,0.25,0.75
"DJ Bravo","JA Morkel",1,11,0.0909090909090909,0.909090909090909
"DJ Bravo","JH Kallis",1,15,0.0666666666666667,0.933333333333333
"DJ Bravo","JJ Bumrah",1,2,0.5,0.5
"DJ Bravo","Joginder Sharma",2,5,0.4,0.6
"DJ Bravo","LR Shukla",1,6,0.166666666666667,0.833333333333333
"DJ Bravo","M Kartik",1,15,0.0666666666666667,0.933333333333333
"DJ Bravo","MA Starc",2,6,0.333333333333333,0.666666666666667
"DJ Bravo","MJ McClenaghan",1,3,0.333333333333333,0.666666666666667
"DJ Bravo","MM Patel",1,9,0.111111111111111,0.888888888888889
"DJ Bravo","P Kumar",1,19,0.0526315789473684,0.947368421052632
"DJ Bravo","P Suyal",1,8,0.125,0.875
"DJ Bravo","PP Chawla",2,44,0.0454545454545455,0.954545454545455
"DJ Bravo","PP Ojha",3,37,0.0810810810810811,0.918918918918919
"DJ Bravo","R Dhawan",1,5,0.2,0.8
"DJ Bravo","R Rampaul",1,4,0.25,0.75
"DJ Bravo","R Sharma",1,11,0.0909090909090909,0.909090909090909
"DJ Bravo","R Vinay Kumar",2,25,0.08,0.92
"DJ Bravo","RJ Harris",1,9,0.111111111111111,0.888888888888889
"DJ Bravo","RP Singh",3,22,0.136363636363636,0.863636363636364
"DJ Bravo","RR Powar",1,4,0.25,0.75
"DJ Bravo","RS Bopara",1,4,0.25,0.75
"DJ Bravo","S Ladda",1,3,0.333333333333333,0.666666666666667
"DJ Bravo","S Tyagi",1,4,0.25,0.75
"DJ Bravo","Shoaib Malik",1,1,1,0
"DJ Bravo","SK Trivedi",1,5,0.2,0.8
"DJ Bravo","SL Malinga",1,17,0.0588235294117647,0.941176470588235
"DJ Bravo","SR Watson",2,17,0.117647058823529,0.882352941176471
"DJ Bravo","TL Suman",1,4,0.25,0.75
"DJ Bravo","UT Yadav",1,16,0.0625,0.9375
"DJ Bravo","YS Chahal",1,4,0.25,0.75
"DJ Harris","DE Bollinger",1,4,0.25,0.75
"DJ Harris","DJ Hussey",1,1,1,0
"DJ Harris","M Morkel",1,8,0.125,0.875
"DJ Hooda","A Zampa",1,2,0.5,0.5
"DJ Hooda","AD Russell",1,7,0.142857142857143,0.857142857142857
"DJ Hooda","Anureet Singh",1,9,0.111111111111111,0.888888888888889
"DJ Hooda","D Wiese",1,6,0.166666666666667,0.833333333333333
"DJ Hooda","DJ Bravo",2,9,0.222222222222222,0.777777777777778
"DJ Hooda","Harbhajan Singh",1,3,0.333333333333333,0.666666666666667
"DJ Hooda","Imran Tahir",1,4,0.25,0.75
"DJ Hooda","Iqbal Abdulla",1,2,0.5,0.5
"DJ Hooda","KV Sharma",1,3,0.333333333333333,0.666666666666667
"DJ Hooda","MM Sharma",1,10,0.1,0.9
"DJ Hooda","R Ashwin",1,1,1,0
"DJ Hooda","RA Jadeja",1,8,0.125,0.875
"DJ Hooda","S Aravind",1,5,0.2,0.8
"DJ Hooda","Sandeep Sharma",1,5,0.2,0.8
"DJ Hooda","Shivam Sharma",1,3,0.333333333333333,0.666666666666667
"DJ Hooda","SL Malinga",2,2,1,0
"DJ Hooda","SP Narine",1,5,0.2,0.8
"DJ Hooda","YS Chahal",1,7,0.142857142857143,0.857142857142857
"DJ Hussey","A Nehra",1,15,0.0666666666666667,0.933333333333333
"DJ Hussey","AA Noffke",1,4,0.25,0.75
"DJ Hussey","AM Salvi",1,2,0.5,0.5
"DJ Hussey","B Akhil",1,5,0.2,0.8
"DJ Hussey","B Kumar",1,6,0.166666666666667,0.833333333333333
"DJ Hussey","DJ Bravo",1,20,0.05,0.95
"DJ Hussey","Gagandeep Singh",1,17,0.0588235294117647,0.941176470588235
"DJ Hussey","HV Patel",1,11,0.0909090909090909,0.909090909090909
"DJ Hussey","I Sharma",1,6,0.166666666666667,0.833333333333333
"DJ Hussey","Iqbal Abdulla",1,5,0.2,0.8
"DJ Hussey","J Botha",1,5,0.2,0.8
"DJ Hussey","JA Morkel",1,5,0.2,0.8
"DJ Hussey","Jaskaran Singh",1,2,0.5,0.5
"DJ Hussey","JH Kallis",1,12,0.0833333333333333,0.916666666666667
"DJ Hussey","JR Hopes",1,16,0.0625,0.9375
"DJ Hussey","KA Pollard",1,23,0.0434782608695652,0.956521739130435
"DJ Hussey","M Kartik",1,8,0.125,0.875
"DJ Hussey","M Muralitharan",1,12,0.0833333333333333,0.916666666666667
"DJ Hussey","M Ntini",1,1,1,0
"DJ Hussey","MF Maharoof",1,12,0.0833333333333333,0.916666666666667
"DJ Hussey","MM Patel",2,25,0.08,0.92
"DJ Hussey","P Amarnath",1,1,1,0
"DJ Hussey","P Awana",1,3,0.333333333333333,0.666666666666667
"DJ Hussey","PP Chawla",2,7,0.285714285714286,0.714285714285714
"DJ Hussey","PP Ojha",1,40,0.025,0.975
"DJ Hussey","R Ashwin",3,17,0.176470588235294,0.823529411764706
"DJ Hussey","R Sharma",1,9,0.111111111111111,0.888888888888889
"DJ Hussey","SK Trivedi",4,28,0.142857142857143,0.857142857142857
"DJ Hussey","SM Pollock",1,6,0.166666666666667,0.833333333333333
"DJ Hussey","SP Narine",1,9,0.111111111111111,0.888888888888889
"DJ Hussey","SR Watson",1,2,0.5,0.5
"DJ Hussey","ST Jayasuriya",1,7,0.142857142857143,0.857142857142857
"DJ Hussey","UT Yadav",2,25,0.08,0.92
"DJ Hussey","V Pratap Singh",1,7,0.142857142857143,0.857142857142857
"DJ Hussey","YK Pathan",1,10,0.1,0.9
"DJ Jacobs","A Singh",1,7,0.142857142857143,0.857142857142857
"DJ Jacobs","Bipul Sharma",1,1,1,0
"DJ Jacobs","DP Nannes",1,2,0.5,0.5
"DJ Jacobs","I Sharma",1,6,0.166666666666667,0.833333333333333
"DJ Jacobs","M Morkel",1,2,0.5,0.5
"DJ Jacobs","RV Gomez",1,4,0.25,0.75
"DJ Jacobs","S Nadeem",1,5,0.2,0.8
"DJ Thornely","R Bhatia",1,3,0.333333333333333,0.666666666666667
"DJ Thornely","Shahid Afridi",1,7,0.142857142857143,0.857142857142857
"DJG Sammy","A Ashish Reddy",1,1,1,0
"DJG Sammy","CJ Anderson",1,6,0.166666666666667,0.833333333333333
"DJG Sammy","DJ Bravo",1,4,0.25,0.75
"DJG Sammy","HV Patel",1,4,0.25,0.75
"DJG Sammy","JP Faulkner",2,9,0.222222222222222,0.777777777777778
"DJG Sammy","KW Richardson",1,1,1,0
"DJG Sammy","L Balaji",1,5,0.2,0.8
"DJG Sammy","MM Sharma",1,9,0.111111111111111,0.888888888888889
"DJG Sammy","PP Chawla",1,10,0.1,0.9
"DJG Sammy","R Vinay Kumar",1,4,0.25,0.75
"DJG Sammy","RA Jadeja",1,8,0.125,0.875
"DJG Sammy","Shakib Al Hasan",2,13,0.153846153846154,0.846153846153846
"DL Chahar","Z Khan",1,1,1,0
"DL Vettori","IK Pathan",1,7,0.142857142857143,0.857142857142857
"DL Vettori","L Balaji",1,9,0.111111111111111,0.888888888888889
"DL Vettori","MM Patel",1,9,0.111111111111111,0.888888888888889
"DL Vettori","PP Chawla",1,4,0.25,0.75
"DL Vettori","R Ashwin",1,1,1,0
"DL Vettori","SK Trivedi",1,2,0.5,0.5
"DNT Zoysa","S Sreesanth",1,1,1,0
"DP Nannes","Harbhajan Singh",1,3,0.333333333333333,0.666666666666667
"DPMD Jayawardene","A Symonds",1,12,0.0833333333333333,0.916666666666667
"DPMD Jayawardene","AA Chavan",1,5,0.2,0.8
"DPMD Jayawardene","AB Agarkar",1,35,0.0285714285714286,0.971428571428571
"DPMD Jayawardene","AB Dinda",1,12,0.0833333333333333,0.916666666666667
"DPMD Jayawardene","AC Thomas",1,12,0.0833333333333333,0.916666666666667
"DPMD Jayawardene","AD Mathews",1,9,0.111111111111111,0.888888888888889
"DPMD Jayawardene","AG Murtaza",1,11,0.0909090909090909,0.909090909090909
"DPMD Jayawardene","AP Dole",1,9,0.111111111111111,0.888888888888889
"DPMD Jayawardene","Azhar Mahmood",1,22,0.0454545454545455,0.954545454545455
"DPMD Jayawardene","B Lee",1,24,0.0416666666666667,0.958333333333333
"DPMD Jayawardene","CH Morris",1,6,0.166666666666667,0.833333333333333
"DPMD Jayawardene","CRD Fernando",1,2,0.5,0.5
"DPMD Jayawardene","D Salunkhe",1,3,0.333333333333333,0.666666666666667
"DPMD Jayawardene","DL Vettori",3,17,0.176470588235294,0.823529411764706
"DPMD Jayawardene","DT Christian",1,2,0.5,0.5
"DPMD Jayawardene","Harbhajan Singh",1,38,0.0263157894736842,0.973684210526316
"DPMD Jayawardene","I Sharma",3,21,0.142857142857143,0.857142857142857
"DPMD Jayawardene","Iqbal Abdulla",1,28,0.0357142857142857,0.964285714285714
"DPMD Jayawardene","J Botha",1,1,1,0
"DPMD Jayawardene","JA Morkel",3,20,0.15,0.85
"DPMD Jayawardene","JD Unadkat",1,24,0.0416666666666667,0.958333333333333
"DPMD Jayawardene","JDP Oram",1,1,1,0
"DPMD Jayawardene","L Balaji",1,37,0.027027027027027,0.972972972972973
"DPMD Jayawardene","M Muralitharan",3,19,0.157894736842105,0.842105263157895
"DPMD Jayawardene","MG Johnson",1,5,0.2,0.8
"DPMD Jayawardene","MM Patel",1,29,0.0344827586206897,0.96551724137931
"DPMD Jayawardene","P Kumar",1,39,0.0256410256410256,0.974358974358974
"DPMD Jayawardene","P Parameswaran",1,1,1,0
"DPMD Jayawardene","Pankaj Singh",1,3,0.333333333333333,0.666666666666667
"DPMD Jayawardene","PD Collingwood",1,5,0.2,0.8
"DPMD Jayawardene","PJ Sangwan",1,8,0.125,0.875
"DPMD Jayawardene","R Ashwin",2,16,0.125,0.875
"DPMD Jayawardene","R Shukla",1,9,0.111111111111111,0.888888888888889
"DPMD Jayawardene","RE van der Merwe",1,12,0.0833333333333333,0.916666666666667
"DPMD Jayawardene","RJ Peterson",1,4,0.25,0.75
"DPMD Jayawardene","Sandeep Sharma",1,6,0.166666666666667,0.833333333333333
"DPMD Jayawardene","Shoaib Malik",1,3,0.333333333333333,0.666666666666667
"DPMD Jayawardene","SK Trivedi",2,27,0.0740740740740741,0.925925925925926
