player_name,runs_conceded,wickets_taken,overs_bowled,bowling_average,economy_rate,bowling_strike_rate
A Ashish Reddy,396,18,43.400000000000006,22.0,9.12,14.47
A Chandila,242,11,39.0,22.0,6.21,21.27
A Choudhary,144,5,16.5,28.8,8.73,19.8
A Dananjaya,47,0,4.0,,11.75,
A Flintoff,105,2,11.0,52.5,9.55,33.0
A Kumble,1058,45,160.5,23.51,6.59,21.4
A Mishra,3525,146,476.5,24.14,7.4,19.58
A Mithun,472,7,48.0,67.43,9.83,41.14
A Nehra,2495,106,317.6,23.54,7.86,17.98
A Nel,31,1,3.0,31.0,10.33,18.0
A Singh,620,28,78.5,22.14,7.9,16.82
A Symonds,674,20,87.5,33.7,7.7,26.25
A Uniyal,66,2,6.0,33.0,11.0,18.0
A Zampa,278,19,36.5,14.63,7.62,11.53
AA Chavan,326,8,41.2,40.75,7.91,30.9
AA Jhunjhunwala,129,1,14.1,129.0,9.15,84.6
AA Kazi,21,0,2.0,,10.5,
AA Noffke,40,1,4.0,40.0,10.0,24.0
AB Agarkar,1151,29,130.2,39.69,8.84,26.94
AB Dinda,2073,69,252.4,30.04,8.21,21.95
AB McDonald,261,11,31.0,23.73,8.42,16.91
AC Gilchrist,0,1,0.1,0.0,0.0,0.6
AC Thomas,406,14,52.3,29.0,7.76,22.41
AC Voges,76,0,9.0,,8.44,
AD Mascarenhas,356,19,51.2,18.74,6.95,16.17
AD Mathews,1079,27,131.5,39.96,8.21,29.22
AD Russell,1251,44,143.0,28.43,8.75,19.5
AF Milne,177,4,18.0,44.25,9.83,27.0
AG Murtaza,313,9,44.0,34.78,7.11,29.33
AJ Finch,67,1,7.1,67.0,9.44,42.6
AJ Tye,589,36,77.0,16.36,7.65,12.83
AL Menaria,144,3,18.2,48.0,7.91,36.4
AM Nayar,322,9,38.1,35.78,8.45,25.4
AM Rahane,5,1,1.0,5.0,5.0,6.0
AM Salvi,200,7,25.0,28.57,8.0,21.43
AN Ahmed,498,12,57.2,41.5,8.71,28.6
AP Dole,112,5,11.0,22.4,10.18,13.2
AR Patel,1765,61,234.3,28.93,7.53,23.05
AS Rajpoot,463,19,55.1,24.37,8.4,17.4
AS Raut,44,0,5.0,,8.8,
AUK Pathan,63,0,6.3,,10.0,
Abdur Razzak,29,0,2.0,,14.5,
Anand Rajan,201,8,24.5,25.12,8.2,18.38
Ankit Sharma,450,12,61.1,37.5,7.36,30.55
Ankit Soni,144,2,18.1,72.0,7.96,54.3
Anureet Singh,623,18,68.4,34.61,9.11,22.8
Avesh Khan,227,5,23.0,45.4,9.87,27.6
Azhar Mahmood,700,29,89.3,24.14,7.84,18.48
B Akhil,242,6,31.2,40.33,7.76,31.2
B Chipli,20,0,1.0,,20.0,
B Geeves,91,1,8.0,91.0,11.38,48.0
B Kumar,2693,120,376.2,22.44,7.16,18.81
B Laughlin,282,10,27.5,28.2,10.25,16.5
B Lee,1095,25,145.5,43.8,7.53,34.92
B Stanlake,200,7,24.0,28.57,8.33,20.57
BA Bhatt,397,12,49.2,33.08,8.07,24.6
BA Stokes,619,20,81.0,30.95,7.64,24.3
BAW Mendis,285,8,40.0,35.62,7.12,30.0
BB Sran,706,18,76.3,39.22,9.25,25.43
BCJ Cutting,402,9,44.5,44.67,9.03,29.67
BE Hendricks,235,9,25.0,26.11,9.4,16.67
